,Discount_Percent,Discount_Price
352,-66%,$ 2.999.900
353,-23%,$ 4.598.993
354,-28%,$ 2.499.929
355,-33%,$ 829.900
356,-54%,$ 499.900
357,-20%,$ 6.119.900
358,-55%,$ 699.900
359,-26%,$ 2.219.926
360,-14%,$ 2.899.899
361,-21%,$ 2.499.900
362,-52%,$ 1.215.990
363,-21%,$ 4.639.000
364,-27%,$ 108.900
365,-18%,$ 1.795.440
366,-14%,$ 545.900
367,-45%,$ 329.000
368,-14%,$ 3.998.900
369,-47%,$ 364.890
370,-34%,$ 1.627.270
371,-63%,$ 757.150
372,-61%,$ 999.707
373,-58%,$ 499.690
374,-15%,$ 779.900
375,-38%,$ 1.999.900
376,-54%,$ 649.950
377,-57%,$ 599.900
378,-30%,$ 2.319.900
379,-48%,$ 1.164.772
380,-37%,$ 1.188.990
381,-48%,$ 699.900
382,-20%,$ 899.900
383,-26%,$ 3.299.000
384,-26%,$ 3.659.900
385,-21%,$ 6.899.900
386,-41%,$ 349.900
387,-48%,$ 1.534.990
388,-30%,$ 3.214.900
389,-15%,$ 4.999.999
390,-28%,$ 2.159.900
391,-61%,$ 229.900
392,-22%,$ 4.269.000
393,-21%,$ 2.818.990
394,-28%,$ 2.499.977
395,-20%,$ 1.969.499
396,-27%,$ 1.449.900
397,-54%,$ 1.399.060
398,-15%,$ 3.799.990
399,-58%,$ 289.900
400,-10%,$ 539.900
401,-45%,$ 518.599
402,-65%,$ 119.900
403,-55%,$ 440.800
404,-43%,$ 1.649.900
405,-68%,$ 629.900
406,-30%,$ 999.900
407,-23%,$ 1.847.900
408,-36%,$ 448.431
409,-47%,$ 914.260
410,-43%,$ 4.549.935
411,-16%,$ 667.000
412,-31%,$ 959.900
413,-61%,$ 1.358.997
414,-65%,$ 739.899
415,-57%,$ 599.900
416,-20%,$ 630.900
417,-51%,$ 489.900
418,-20%,$ 4.799.900
419,-30%,$ 2.499.989
420,-52%,$ 1.381.990
421,-32%,$ 2.349.693
422,-60%,$ 945.957
423,-44%,$ 559.900
424,-57%,$ 1.399.490
425,-54%,$ 445.990
426,-13%,$ 2.689.800
427,-23%,$ 303.700
428,-16%,$ 3.497.850
429,-19%,$ 4.268.900
430,-50%,$ 620.020
431,-48%,$ 1.799.900
432,-49%,$ 828.590
433,-34%,$ 423.540
434,-46%,$ 1.388.998
435,-48%,$ 389.000
436,-23%,$ 762.900
437,-20%,$ 679.500
438,-20%,$ 954.900
439,-34%,$ 1.632.640
440,-23%,$ 992.899
441,-32%,$ 1.599.900
442,-23%,$ 1.847.900
443,-63%,$ 434.658
444,-33%,$ 899.900
445,-34%,$ 2.408.927
446,-57%,$ 783.951
447,-30%,$ 2.159.900
448,-32%,$ 879.798
449,-43%,$ 2.799.872
450,-65%,$ 1.049.888
451,-61%,$ 699.900
452,-77%,$ 620.020
453,-63%,$ 549.190
454,-57%,$ 783.951
455,-52%,$ 599.900
456,-52%,$ 599.900
457,-30%,$ 1.938.742
458,-20%,$ 1.969.499
459,-12%,$ 5.159.800
460,-49%,$ 1.599.800
461,-20%,$ 1.967.900
462,-27%,$ 3.979.889
463,-25%,$ 3.426.990
464,-33%,$ 2.799.864
465,-52%,$ 1.215.990
466,-42%,$ 1.725.499
467,-50%,$ 1.567.100
468,-36%,$ 1.999.900
469,-28%,$ 3.293.990
470,-68%,$ 2.099.988
471,-45%,$ 1.149.900
472,-31%,$ 1.226.770
473,-35%,$ 1.939.252
474,-41%,$ 2.899.861
475,-28%,$ 2.499.911
