,Brand,Product Name,Normal Price,Discount,Discount Price,Seller,Waranty status,Waranty Period (Months),Accessories Included
559,APPLE,IPHONE 13 PRO MAX 256 GB REACONDICIONADO COLOR AZUL SIERRA,$ 4.499.900,-27%,$ 3.249.900, idroid colombia,not available,0,no
561,VIVO, Vivo V25e 128Gb Purpura Reacondicionado,$ 1.200.000,-54%,$ 549.900, quiero mac,not available,0,no
562,APPLE,iPhone SE 2020 64Gb Red Reacondicionado + 14 Meses Garantia,$ 1.249.900,-52%,$ 599.900, quiero mac,available,14,no
563,APPLE,Iphone X 64Gb Silver Reacondicionado + 12 Meses Garantia,$ 1.649.900,-49%,$ 828.590, quiero mac,available,12,no
564,APPLE,Iphone 12 Pro 128Gb Reacondicionado Negro,$ 2.772.900,-30%,$ 1.939.899, ventas hatior colombia,not available,0,no
565,APPLE,IPHONE 11 PRO MAX 256 GB REACONDICIONADO COLOR VERDE MEDIANOCHE,$ 2.599.900,-24%,$ 1.961.493, ecocell,not available,0,no
566,APPLE,IPHONE 11 PRO 64 GB REACONDICIONADO COLOR PLATA,$ 2.999.000,-47%,$ 1.567.099, idroid colombia,not available,0,no
567,APPLE,Iphone 14 128Gb Medianoche Reacondicionado,$ 3.599.900,-29%,$ 2.541.990, micelu,not available,0,no
568,APPLE, Iphone Xr 128Gb Red Reacondicionado,$ 2.599.900,-58%,$ 1.079.900, micelu,not available,0,no
569,APPLE,Iphone 12 128Gb Reacondicionado Lila,$ 3.000.000,-46%,$ 1.599.800, micelu,not available,0,no
571,APPLE,Iphone 13 Pro Max 256Gb Verde Alpino Reacondicionado,$ 5.300.000,-39%,$ 3.200.000, tu tienda amarena,not available,0,no
572,APPLE,Iphone 13 Pro 256Gb Plata Reacondicionado,$ 4.999.000,-43%,$ 2.799.856, idroid colombia,not available,0,no
573,APPLE,Iphone 13 Pro 256Gb Grafito Reacondicionado,$ 4.999.000,-41%,$ 2.899.869, idroid colombia,not available,0,no
574,APPLE,IPHONE 11 64 GB REACONDICIONADO COLOR NEGRO,$ 2.550.000,-52%,$ 1.215.990, micelu,not available,0,no
575,APPLE,IPHONE 11 64 GB REACONDICIONADO COLOR BLANCO,$ 2.550.000,-52%,$ 1.215.990, micelu,not available,0,no
576,APPLE,Iphone 14 Pro 256Gb Oro Reacondicionado,$ 4.599.900,-25%,$ 3.426.990, micelu,not available,0,no
577,APPLE,iPhone 12 Pro Max 128GB Plata Reacondicionado,$ 3.358.900,-30%,$ 2.349.899, ventas hatior colombia,not available,0,no
578,APPLE,iPhone 11 64Gb Rojo Reacondicionado + 14 Meses Garantia,$ 2.550.000,-52%,$ 1.215.990, micelu,available,14,no
