,Brand,Product Name,Normal Price,Discount,Discount Price,Seller,Waranty status,Waranty Period (Months),Accessories Included
579,APPLE,iPhone 12 Mini 64GB Negro Reacondicionado,$ 1.999.900,-25%,$ 1.499.800, ventas hatior colombia,not available,0,no
580,APPLE,Iphone 12 64Gb Rojo Reacondicionado,$ 1.999.900,-30%,$ 1.399.000, ventas hatior colombia,not available,0,no
581,APPLE, Reacondicionado Iphone 11 64Gb Blanco,$ 2.550.000,-52%,$ 1.215.990, micelu,not available,0,no
582,APPLE,Iphone 12 64Gb Verde Reacondicionado,$ 1.999.800,-30%,$ 1.399.000, ventas hatior colombia,not available,0,no
583,APPLE, Reacondicionado Iphone 11 Pro Max 256Gb Gris,$ 2.461.900,-20%,$ 1.969.499, ventas hatior colombia,not available,0,no
584,APPLE,Iphone 12 Azul 64Gb Reacondicionado,$ 2.099.900,-28%,$ 1.499.600, ventas hatior colombia,not available,0,no
585,APPLE,Reacondicionado Iphone 11 Pro Max 64 Gb Midnight Green,$ 3.599.900,-52%,$ 1.725.900, micelu,not available,0,no
586,APPLE, Reacondicionado Iphone 11 Pro Max 256Gb Plata Apple,$ 2.461.900,-20%,$ 1.969.499, ventas hatior colombia,not available,0,no
587,APPLE, Iphone 11 Reacondicionado Verde 128 Gb,$ 2.299.000,-39%,$ 1.393.951, ventas hatior colombia,not available,0,no
589,APPLE,IPHONE 14 PRO 128 GB REACONDICIONADO COLOR MORADO,$ 4.990.900,-34%,$ 3.289.900, la fabrica del iphone1,not available,0,no
591,APPLE, Reacondicionado Iphone 11 128Gb Blanco,$ 2.399.900,-41%,$ 1.398.718, ecocell,not available,0,no
593,XIAOMI,Xiaomi Redmi Note 11 128 Gris Reacondicionado,$ 1.199.900,-58%,$ 499.900, quiero mac,not available,0,no
595,APPLE,Iphone 14 Pro 128Gb Negro Espacial Reacondicionado,$ 4.859.900,-32%,$ 3.293.990, micelu,not available,0,no
596,APPLE, Reacondicionado Iphone Xr 256Gb Blanco Apple,$ 2.999.900,-59%,$ 1.228.285, ecocell,not available,0,no
598,APPLE, Reacondicionado Iphone 8 256Gb Rojo Apple,$ 1.199.900,-54%,$ 549.190, quiero mac,not available,0,no
599,APPLE,Iphone 14 Pro Max 256Gb Plata Reacondicionado,$ 5.500.000,-25%,$ 4.089.989, idroid colombia,not available,0,no
600,APPLE,Iphone 13 Pro Max 128Gb Plata Reacondicionado,$ 5.000.000,-42%,$ 2.899.880, idroid colombia,not available,0,no
601,APPLE,IPHONE 12 PRO 128 GB REACONDICIONADO COLOR PLATA,$ 3.500.000,-44%,$ 1.939.775, idroid colombia,not available,0,no
606,APPLE, Reacondicionado Iphone Se 64Gb Blanco Apple,$ 2.999.900,-79%,$ 620.007, quiero mac,not available,0,no
611,APPLE, Iphone 11 Pro Reacondicionado Plateado 256 Gb,$ 4.799.900,-60%,$ 1.899.900, ecocell,not available,0,no
614,APPLE,Iphone Reacondicionado 13 Pro 128 Gb Azul Sierra,$ 4.000.000,-35%,$ 2.589.706, idroid colombia,not available,0,no
615,APPLE,IPHONE 12 PRO MAX 256 GB REACONDICIONADO COLOR AZUL PACIFICO,$ 3.500.000,-28%,$ 2.499.900, idroid colombia,not available,0,no
616,APPLE,Iphone 13 Pro 256Gb Grafito Reacondicionado,$ 4.000.000,-27%,$ 2.899.683, idroid colombia,not available,0,no
620,APPLE, Reacondicionado Iphone 11 Pro Max 64Gb Plata Apple,$ 3.599.900,-52%,$ 1.725.900, micelu,not available,0,no
626,APPLE,IPHONE 13 PRO 256 GB REACONDICIONADO COLOR AZUL SIERRA,$ 4.499.000,-33%,$ 2.989.806, idroid colombia,not available,0,no
627,APPLE, Iphone X 64Gb Silver Reacondicionado,$ 1.399.000,-35%,$ 899.900, ventas hatior colombia,not available,0,no
632,APPLE, Reacondicionado Iphone 6S 32Gb Gris Espacial Apple,$ 799.900,-62%,$ 299.900, quiero mac,not available,0,no
635,APPLE, Reacondicionado Apple Iphone 8 64Gb Plata,$ 1.299.900,-61%,$ 499.690, quiero mac,not available,0,no
636,VIVO,Vivo Y21s 128 Azul Reacondicionado,$ 999.900,-67%,$ 329.900, quiero mac,not available,0,no
637,APPLE, Reacondicionado Iphone 11 128Gb Morado Apple,$ 3.999.900,-65%,$ 1.396.995, ecocell,not available,0,no
639,APPLE,IPHONE 14 PLUS 128 GB REACONDICIONADO COLOR BLANCO ESTELAR,$ 4.244.721,-20%,$ 3.395.777, maeko,not available,0,no
641,APPLE, Iphone 12 Mini 64Gb Verde Reacondicionado,$ 2.399.900,-44%,$ 1.339.900, ventas hatior colombia,not available,0,no
642,APPLE, Iphone 13 Pro Max Gris 256Gb Reacondicionado,$ 3.981.075,-20%,$ 3.184.860, maeko,not available,0,no
644,MOTOROLA,Motorola Moto G42 128 Rosa Reacondicionado,$ 1.099.900,-54%,$ 499.900, quiero mac,not available,0,no
645,HUAWEI,Huawei Y5 2018 16 Negro Reacondicionado,$ 499.900,-60%,$ 199.900, quiero mac,not available,0,no
646,HUAWEI,Huawei Y9 2019 64 Azul Reacondicionado,$ 699.900,-58%,$ 289.900, quiero mac,not available,0,no
647,VIVO,Vivo Y53s 128 Azul Reacondicionado,$ 1.499.900,-66%,$ 499.900, quiero mac,not available,0,no
648,VIVO,Vivo Y33s 128 Negro Reacondicionado,$ 1.099.900,-63%,$ 399.900, quiero mac,not available,0,no
649,XIAOMI,Xiaomi Redmi Note 8 64 Azul Reacondicionado,$ 999.900,-62%,$ 379.900, quiero mac,not available,0,no
650,VIVO,Vivo Y21s 128 Tornasol Reacondicionado,$ 999.900,-67%,$ 329.900, quiero mac,not available,0,no
652,APPLE,iPhone 12 Pro Plata 128GB Reacondicionado + Airpods Pro 2 AAA,$ 2.999.900,-30%,$ 2.099.899, ventas hatior colombia,not available,0,yes
653,APPLE,Iphone X 64Gb Plata Reacondicionado + 14 Meses Garantia,$ 1.649.900,-49%,$ 828.590, quiero mac,available,14,no
654,APPLE,Iphone X 64Gb Plata Reacondicionado + 12 Meses Garantia,$ 1.649.900,-49%,$ 828.590, quiero mac,available,12,no
655,APPLE,Iphone Se 2020 128Gb Negro Reacondicionado + 14 Meses Garantia,$ 1.799.900,-61%,$ 699.900, quiero mac,available,14,no
